Original Value,New Value
RESIDENCE,Residence
OTHER,Other
HOTEL/MOTEL,Hotel/Motel
APARTMENT,Residence
SIDEWALK,Sidewalk
PARKING LOT/GARAGE(NON.RESID.),Parking Lot
RESIDENCE-GARAGE,Residence
HOSPITAL BUILDING/GROUNDS,Hospital
BANK,Bank
RESTAURANT,Restaurant
"SCHOOL, PUBLIC, BUILDING",School
STREET,Street
AIRPORT BUILDING NON-TERMINAL - SECURE AREA,Airport
RESIDENCE PORCH/HALLWAY,Residence
RESIDENTIAL YARD (FRONT/BACK),Residence
BAR OR TAVERN,Bar
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,Airport
DEPARTMENT STORE,Department Store
ALLEY,Alley
VEHICLE NON-COMMERCIAL,Vehicle
GOVERNMENT BUILDING/PROPERTY,Government Building
AUTO / BOAT / RV DEALERSHIP,Dealership
VACANT LOT/LAND,Vacant Lot/Land
WAREHOUSE,Warehouse
POOL ROOM,Pool
COMMERCIAL / BUSINESS OFFICE,Commercial/Business Office
POLICE FACILITY/VEH PARKING LOT,Police Facility
PARK PROPERTY,Park
MEDICAL/DENTAL OFFICE,Medical/Dental Office
BOAT/WATERCRAFT,Vehicle
GROCERY FOOD STORE,Store
CTA STATION,CTA Station/Platform/Stop/Other
CONVENIENCE STORE,Store
ATHLETIC CLUB,Athletic Club
SMALL RETAIL STORE,Store
AIRPORT/AIRCRAFT,Airport
ANIMAL HOSPITAL,Animal Hospital
ATM (AUTOMATIC TELLER MACHINE),ATM
CTA BUS,Public Transportation
CURRENCY EXCHANGE,Currency Exchange
DRIVEWAY - RESIDENTIAL,Residence
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,Airport
CONSTRUCTION SITE,Construction Site
SPORTS ARENA/STADIUM,Sports Stadium
FACTORY/MANUFACTURING BUILDING,Factory
LIBRARY,Library
GAS STATION,Gas Station
CTA PLATFORM,CTA Station/Platform/Stop/Other
CTA TRAIN,Public Transportation
CHURCH/SYNAGOGUE/PLACE OF WORSHIP,Church
AIRPORT VENDING ESTABLISHMENT,Airport
"SCHOOL, PRIVATE, BUILDING",School
NURSING HOME/RETIREMENT HOME,Nursing Home
BRIDGE,Bridge
PAWN SHOP,Store
OTHER RAILROAD PROP / TRAIN DEPOT,Train Depot
CHA PARKING LOT/GROUNDS,CHA Grounds
CTA GARAGE / OTHER PROPERTY,CTA Station/Platform/Stop/Other
COLLEGE/UNIVERSITY GROUNDS,College/University Grounds
CAR WASH,Car Wash
AIRPORT EXTERIOR - NON-SECURE AREA,Airport
JAIL / LOCK-UP FACILITY,Jail
"SCHOOL, PUBLIC, GROUNDS",School
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,Airport
AIRCRAFT,Commercial Transportation
DRUG STORE,Drug Store
TAVERN/LIQUOR STORE,Store
CHA APARTMENT,CHA Grounds
LAKEFRONT/WATERFRONT/RIVERBANK,Lake/River/Waterfront
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,Airport
OTHER COMMERCIAL TRANSPORTATION,Commercial Transportation
"SCHOOL, PRIVATE, GROUNDS",School
CTA BUS STOP,CTA Station/Platform/Stop/Other
COLLEGE/UNIVERSITY RESIDENCE HALL,College/University Grounds
MOVIE HOUSE/THEATER,Movie Theater
AIRPORT EXTERIOR - SECURE AREA,Airport
HIGHWAY/EXPRESSWAY,Highway
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,Airport
ABANDONED BUILDING,Abandoned Building
TAXICAB,Taxi
DAY CARE CENTER,Day Care Center
VEHICLE-COMMERCIAL,Vehicle
AIRPORT TRANSPORTATION SYSTEM (ATS),Airport Transportation System
FEDERAL BUILDING,Government Building
FIRE STATION,Fire Station
BOWLING ALLEY,Bowling Alley
VEHICLE - OTHER RIDE SERVICE,Vehicle
CHA HALLWAY/STAIRWELL/ELEVATOR,CHA Grounds
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,Airport
CREDIT UNION,Credit Union
APPLIANCE STORE,Store
BARBERSHOP,Barbershop
"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",Rideshare
VEHICLE - DELIVERY TRUCK,Delivery Truck
AIRPORT PARKING LOT,Airport
COIN OPERATED MACHINE,Coin Operated Machine
SAVINGS AND LOAN,Savings and Loan
CEMETARY,Cemetary
CTA TRACKS - RIGHT OF WAY,CTA Station/Platform/Stop/Other
CLEANING STORE,Store
PARKING LOT,Parking Lot
PORCH,Residence
HOUSE,Residence
AUTO,Auto
RETAIL STORE,Store
CHA GROUNDS,CHA Grounds
YARD,Residence
KENNEL,Kennel
FARM,Farm
VEHICLE-COMMERCIAL - TROLLEY BUS,Vehicle
RAILROAD PROPERTY,Railroad Property
FOREST PRESERVE,Forest Preserve
VACANT LOT,Vacant Lot/Land
"CTA ""L"" PLATFORM",CTA Station/Platform/Stop/Other
NEWSSTAND,Newstand
TRAILER,Trailer
GANGWAY,Gangway
BARBER SHOP/BEAUTY SALON,Barbershop
GARAGE,Garage
HOTEL,Hotel/Motel
STAIRWELL,Stairwell
VEHICLE-COMMERCIAL - ENTERTAINMENT/PARTY BUS,Vehicle
CHA PARKING LOT,CHA Grounds
HALLWAY,Hallway
CTA SUBWAY STATION,CTA Station/Platform/Stop/Other
HORSE STABLE,Horse Stable
DRIVEWAY,Driveway
CTA PROPERTY,CTA Station/Platform/Stop/Other
VESTIBULE,Vestibule
TAVERN,Bar
LIQUOR STORE,Store
MOTEL,Hotel/Motel
LAKE,Lake/River/Waterfront
CLUB,Club
BASEMENT,Basement
GAS STATION DRIVE/PROP.,Gas Station Drive/Prop.
CHA PLAY LOT,CHA Grounds
PUBLIC HIGH SCHOOL,School
TAXI CAB,Taxi
SCHOOL YARD,School
RIVER,Lake/River/Waterfront
CHURCH PROPERTY,Church
GARAGE/AUTO REPAIR,Garage/Auto Repair
NURSING HOME,Nursing Home
SEWER,Sewer
GOVERNMENT BUILDING,Government Building
OFFICE,Office
TRUCK,Vehicle
ELEVATOR,Elevator
POOLROOM,Pool
LAUNDRY ROOM,Laundry Room
CLEANERS/LAUNDROMAT,Laundromat
EXPRESSWAY EMBANKMENT,Expressway Embankment
HOSPITAL,Hospital
"CTA ""L"" TRAIN",CTA Station/Platform/Stop/Other
LAGOON,Lake/River/Waterfront
CHA HALLWAY,CHA Grounds
CHURCH,Church
RIVER BANK,Lake/River/Waterfront
ROOMING HOUSE,Rooming House
YMCA,YMCA
WOODED AREA,Wooded Area
DELIVERY TRUCK,Delivery Truck
